feature,freq_nonzero(|w|>=threshold),mean_weight,std_weight,pos_ratio_given_present,threshold,n_boot,abs_mean_weight
Morgan Bit 1873,0.34,-0.2892833815469534,0.8594362567566065,0.17647058823529413,0.05,50,0.2892833815469534
Morgan Bit 715,0.6,0.20985978552554027,0.26226027772898614,0.9666666666666667,0.05,50,0.20985978552554027
Bit 108,0.72,-0.1724378456612388,0.22566732857265906,0.1111111111111111,0.05,50,0.1724378456612388
Morgan Bit 926,0.28,-0.14018241001249307,0.3897478908805377,0.0,0.05,50,0.14018241001249307
Bit 74,0.66,-0.1321245993097095,0.10511069989448166,0.0,0.05,50,0.1321245993097095
Morgan Bit 650,0.38,-0.129505859389549,0.19236043359120272,0.05263157894736842,0.05,50,0.129505859389549
Morgan Bit 1750,0.12,0.12924250513678365,0.6085623353515788,0.8333333333333334,0.05,50,0.12924250513678365
Bit 125,0.46,0.122414248122608,0.18141196711471363,0.9565217391304348,0.05,50,0.122414248122608
Morgan Bit 997,0.48,-0.1221883973872446,0.23918310939931295,0.08333333333333333,0.05,50,0.1221883973872446
Morgan Bit 252,0.54,-0.11137179296246785,0.11927624673347834,0.0,0.05,50,0.11137179296246785
Morgan Bit 1380,0.16,0.10892704810023753,0.34022632864376157,1.0,0.05,50,0.10892704810023753
Morgan Bit 1928,0.5,0.10889119993225226,0.13042223241947137,1.0,0.05,50,0.10889119993225226
Morgan Bit 1221,0.46,-0.10652721223296246,0.13669508603872682,0.0,0.05,50,0.10652721223296246
Bit 121,0.54,0.10619294261785246,0.21256688507447447,0.9259259259259259,0.05,50,0.10619294261785246
Morgan Bit 1357,0.38,0.10378319628896661,0.29515703499206,0.7894736842105263,0.05,50,0.10378319628896661
Morgan Bit 656,0.36,0.1037273686935291,0.2897448415991605,0.6666666666666666,0.05,50,0.1037273686935291
Bit 65,0.4,0.10287603341217988,0.3701329577995719,0.6,0.05,50,0.10287603341217988
Bit 91,0.46,0.10275968002623358,0.2849795801570982,0.8260869565217391,0.05,50,0.10275968002623358
Morgan Bit 378,0.5,0.10044528486605059,0.16603148298956857,0.92,0.05,50,0.10044528486605059
Bit 69,0.44,0.09852882772449618,0.26025111014427266,0.8636363636363636,0.05,50,0.09852882772449618
Bit 90,0.46,0.09289006226340117,0.1328381489622009,0.9565217391304348,0.05,50,0.09289006226340117
Bit 136,0.4,0.0909912704788089,0.14753601586330198,0.95,0.05,50,0.0909912704788089
Bit 97,0.38,0.08763619806304834,0.13652188139015217,1.0,0.05,50,0.08763619806304834
Bit 101,0.4,-0.08699173999772312,0.26017702949805693,0.3,0.05,50,0.08699173999772312
Morgan Bit 813,0.5,-0.08276325988476137,0.08867782751930212,0.0,0.05,50,0.08276325988476137
Bit 96,0.36,-0.0808640237799134,0.23292386341302584,0.2777777777777778,0.05,50,0.0808640237799134
Morgan Bit 1866,0.42,-0.07929752381677413,0.2380420342578032,0.23809523809523808,0.05,50,0.07929752381677413
Bit 98,0.36,0.07901735540564704,0.2135764511900319,0.8333333333333334,0.05,50,0.07901735540564704
Morgan Bit 591,0.4,-0.07840642185933708,0.2744996621549052,0.15,0.05,50,0.07840642185933708
Morgan Bit 1838,0.52,0.07194954463249462,0.2466776356034382,0.8846153846153846,0.05,50,0.07194954463249462
Bit 156,0.46,0.07033458794389129,0.1415204260387735,0.9130434782608695,0.05,50,0.07033458794389129
Bit 89,0.52,0.06773592235485369,0.17236340701830993,0.8846153846153846,0.05,50,0.06773592235485369
Morgan Bit 1405,0.24,-0.06073756330968855,0.22992964553056558,0.25,0.05,50,0.06073756330968855
Morgan Bit 1741,0.2,0.05413433393238492,0.15817725642469316,0.9,0.05,50,0.05413433393238492
Morgan Bit 1525,0.4,-0.05228315155045359,0.0694398075807786,0.0,0.05,50,0.05228315155045359
Morgan Bit 645,0.3,0.05167385197839871,0.08510576235944485,1.0,0.05,50,0.05167385197839871
Morgan Bit 1444,0.42,-0.050733878902679004,0.2678945284953344,0.23809523809523808,0.05,50,0.050733878902679004
Bit 141,0.36,-0.05046211845124597,0.17520720764480693,0.2222222222222222,0.05,50,0.05046211845124597
Morgan Bit 1601,0.34,0.04933618510886509,0.09596875395714796,0.8823529411764706,0.05,50,0.04933618510886509
Morgan Bit 1285,0.26,-0.04771252243057853,0.23313393167349125,0.23076923076923078,0.05,50,0.04771252243057853
Bit 162,0.28,0.041417080852560566,0.25711047225670774,0.7142857142857143,0.05,50,0.041417080852560566
Morgan Bit 36,0.14,-0.03957813131705032,0.11602192245834309,0.0,0.05,50,0.03957813131705032
Morgan Bit 1683,0.26,-0.03934351510056891,0.12048113416170961,0.23076923076923078,0.05,50,0.03934351510056891
Morgan Bit 837,0.28,-0.039064203220649546,0.085184154448127,0.07142857142857142,0.05,50,0.039064203220649546
Morgan Bit 1323,0.28,-0.037474644035657964,0.08753440349223618,0.07142857142857142,0.05,50,0.037474644035657964
Morgan Bit 1646,0.18,-0.0351938500912306,0.13264330951667846,0.2222222222222222,0.05,50,0.0351938500912306
Morgan Bit 1952,0.18,0.03497747168259444,0.1161101176028378,1.0,0.05,50,0.03497747168259444
Morgan Bit 1143,0.26,0.0347682201707928,0.15778954006958162,0.6153846153846154,0.05,50,0.0347682201707928
Morgan Bit 437,0.34,0.03466842498563309,0.09561025643875747,0.9411764705882353,0.05,50,0.03466842498563309
Morgan Bit 1226,0.4,-0.034373903777245335,0.2260672751335648,0.45,0.05,50,0.034373903777245335
Morgan Bit 784,0.18,-0.033769800346351436,0.14331968745055318,0.1111111111111111,0.05,50,0.033769800346351436
Morgan Bit 1633,0.28,0.032710950655308796,0.13104266045057125,0.8571428571428571,0.05,50,0.032710950655308796
Morgan Bit 500,0.12,0.03020830989341138,0.08762523541600284,1.0,0.05,50,0.03020830989341138
Morgan Bit 1723,0.22,0.030144370011729437,0.12133256820932593,0.8181818181818182,0.05,50,0.030144370011729437
Morgan Bit 1992,0.28,0.028571015255220784,0.09707549981164106,0.8571428571428571,0.05,50,0.028571015255220784
Morgan Bit 950,0.2,-0.027330646905351363,0.15647305509118703,0.1,0.05,50,0.027330646905351363
Bit 159,0.26,-0.026337900065492584,0.1311806839968855,0.38461538461538464,0.05,50,0.026337900065492584
Morgan Bit 1430,0.3,-0.02586632195308847,0.11625171645084,0.3333333333333333,0.05,50,0.02586632195308847
Morgan Bit 67,0.28,0.02577266809509579,0.11738447772980548,0.8571428571428571,0.05,50,0.02577266809509579
Morgan Bit 222,0.24,-0.024127768175033433,0.10282554905048608,0.25,0.05,50,0.024127768175033433
Morgan Bit 414,0.26,0.02389146694343859,0.1723710387470918,0.6153846153846154,0.05,50,0.02389146694343859
Morgan Bit 532,0.1,-0.023819733742677193,0.0773937674864478,0.0,0.05,50,0.023819733742677193
Morgan Bit 1490,0.32,-0.02293175980752147,0.14830274997811974,0.125,0.05,50,0.02293175980752147
Morgan Bit 1797,0.1,-0.018117213736825365,0.058147258209123115,0.0,0.05,50,0.018117213736825365
Morgan Bit 1417,0.14,0.017070240702693144,0.08533513072727815,0.7142857142857143,0.05,50,0.017070240702693144
Bit 82,0.2,-0.016891810428899534,0.0876026811076871,0.3,0.05,50,0.016891810428899534
Morgan Bit 1453,0.24,0.01003334632691133,0.1409647700936261,0.6666666666666666,0.05,50,0.01003334632691133
Morgan Bit 45,0.16,0.009505592181740248,0.0870044458316415,0.75,0.05,50,0.009505592181740248
Bit 104,0.26,-0.009481070033284049,0.130774519398806,0.46153846153846156,0.05,50,0.009481070033284049
Bit 142,0.28,0.009290505473269525,0.11496801561968682,0.6428571428571429,0.05,50,0.009290505473269525
Morgan Bit 1448,0.12,0.006438878924007571,0.11399286806144927,0.3333333333333333,0.05,50,0.006438878924007571
Bit 31,0.46,-0.004494854037702392,0.20107586797666277,0.34782608695652173,0.05,50,0.004494854037702392
Morgan Bit 1513,0.02,0.004481320404003309,0.03136924282802316,1.0,0.05,50,0.004481320404003309
Morgan Bit 1950,0.06,0.004074138435242045,0.046984063159777274,0.6666666666666666,0.05,50,0.004074138435242045
Morgan Bit 1135,0.14,-0.0027921175277885145,0.1106750691568776,0.2857142857142857,0.05,50,0.0027921175277885145
Bit 163,0.3,-0.0022644725203895045,0.23837520769391699,0.6666666666666666,0.05,50,0.0022644725203895045
