feature,freq_nonzero(|w|>=threshold),mean_weight,std_weight,pos_ratio_given_present,threshold,n_boot,abs_mean_weight
Morgan Bit 1873,0.34,-0.2892833815469534,0.8594362567566065,0.17647058823529413,0.05,50,0.2892833815469534
Morgan Bit 715,0.6,0.20985978552554027,0.26226027772898614,0.9666666666666667,0.05,50,0.20985978552554027
Bit 108,0.72,-0.1724378456612388,0.22566732857265906,0.1111111111111111,0.05,50,0.1724378456612388
Morgan Bit 926,0.28,-0.14018241001249307,0.3897478908805377,0.0,0.05,50,0.14018241001249307
Bit 74,0.66,-0.1321245993097095,0.10511069989448166,0.0,0.05,50,0.1321245993097095
Morgan Bit 650,0.38,-0.129505859389549,0.19236043359120272,0.05263157894736842,0.05,50,0.129505859389549
Morgan Bit 1750,0.12,0.12924250513678365,0.6085623353515788,0.8333333333333334,0.05,50,0.12924250513678365
Bit 125,0.46,0.122414248122608,0.18141196711471363,0.9565217391304348,0.05,50,0.122414248122608
Morgan Bit 997,0.48,-0.1221883973872446,0.23918310939931295,0.08333333333333333,0.05,50,0.1221883973872446
Morgan Bit 252,0.54,-0.11137179296246785,0.11927624673347834,0.0,0.05,50,0.11137179296246785
Morgan Bit 1380,0.16,0.10892704810023753,0.34022632864376157,1.0,0.05,50,0.10892704810023753
Morgan Bit 1928,0.5,0.10889119993225226,0.13042223241947137,1.0,0.05,50,0.10889119993225226
Morgan Bit 1221,0.46,-0.10652721223296246,0.13669508603872682,0.0,0.05,50,0.10652721223296246
Bit 121,0.54,0.10619294261785246,0.21256688507447447,0.9259259259259259,0.05,50,0.10619294261785246
Morgan Bit 1357,0.38,0.10378319628896661,0.29515703499206,0.7894736842105263,0.05,50,0.10378319628896661
Morgan Bit 656,0.36,0.1037273686935291,0.2897448415991605,0.6666666666666666,0.05,50,0.1037273686935291
Bit 65,0.4,0.10287603341217988,0.3701329577995719,0.6,0.05,50,0.10287603341217988
Bit 91,0.46,0.10275968002623358,0.2849795801570982,0.8260869565217391,0.05,50,0.10275968002623358
Morgan Bit 378,0.5,0.10044528486605059,0.16603148298956857,0.92,0.05,50,0.10044528486605059
Bit 69,0.44,0.09852882772449618,0.26025111014427266,0.8636363636363636,0.05,50,0.09852882772449618
