feature,freq_nonzero(|w|>=threshold),mean_weight,std_weight,pos_ratio_given_present,threshold,n_boot,abs_mean_weight
Morgan Bit 715,0.6,0.20985978552554027,0.26226027772898614,0.9666666666666667,0.05,50,0.20985978552554027
Morgan Bit 1750,0.12,0.12924250513678365,0.6085623353515788,0.8333333333333334,0.05,50,0.12924250513678365
Bit 125,0.46,0.122414248122608,0.18141196711471363,0.9565217391304348,0.05,50,0.122414248122608
Morgan Bit 1380,0.16,0.10892704810023753,0.34022632864376157,1.0,0.05,50,0.10892704810023753
Morgan Bit 1928,0.5,0.10889119993225226,0.13042223241947137,1.0,0.05,50,0.10889119993225226
Bit 121,0.54,0.10619294261785246,0.21256688507447447,0.9259259259259259,0.05,50,0.10619294261785246
Morgan Bit 1357,0.38,0.10378319628896661,0.29515703499206,0.7894736842105263,0.05,50,0.10378319628896661
Morgan Bit 656,0.36,0.1037273686935291,0.2897448415991605,0.6666666666666666,0.05,50,0.1037273686935291
Bit 65,0.4,0.10287603341217988,0.3701329577995719,0.6,0.05,50,0.10287603341217988
Bit 91,0.46,0.10275968002623358,0.2849795801570982,0.8260869565217391,0.05,50,0.10275968002623358
Morgan Bit 378,0.5,0.10044528486605059,0.16603148298956857,0.92,0.05,50,0.10044528486605059
Bit 69,0.44,0.09852882772449618,0.26025111014427266,0.8636363636363636,0.05,50,0.09852882772449618
Bit 90,0.46,0.09289006226340117,0.1328381489622009,0.9565217391304348,0.05,50,0.09289006226340117
Bit 136,0.4,0.0909912704788089,0.14753601586330198,0.95,0.05,50,0.0909912704788089
Bit 97,0.38,0.08763619806304834,0.13652188139015217,1.0,0.05,50,0.08763619806304834
Bit 98,0.36,0.07901735540564704,0.2135764511900319,0.8333333333333334,0.05,50,0.07901735540564704
Morgan Bit 1838,0.52,0.07194954463249462,0.2466776356034382,0.8846153846153846,0.05,50,0.07194954463249462
Bit 156,0.46,0.07033458794389129,0.1415204260387735,0.9130434782608695,0.05,50,0.07033458794389129
Bit 89,0.52,0.06773592235485369,0.17236340701830993,0.8846153846153846,0.05,50,0.06773592235485369
Morgan Bit 1741,0.2,0.05413433393238492,0.15817725642469316,0.9,0.05,50,0.05413433393238492
