,Bit 74,Bit 156,Bit 90,Bit 65,Morgan Bit 780,Morgan Bit 378,Bit 98,Bit 101,Morgan Bit 645,Bit 163,Morgan Bit 222,Morgan Bit 632,Bit 141,Morgan Bit 1797,Morgan Bit 414,Morgan Bit 532,Bit 121,Morgan Bit 715,Morgan Bit 1866,Morgan Bit 997,Morgan Bit 1323,Morgan Bit 437,Bit 159,Morgan Bit 1380,Morgan Bit 784,Bit 142,Morgan Bit 1601,Morgan Bit 1043,Bit 108,Morgan Bit 650,Morgan Bit 1293,Morgan Bit 45,Morgan Bit 1444,Morgan Bit 1405,Morgan Bit 1260,Bit 162,Morgan Bit 1453,Morgan Bit 36,Morgan Bit 1873,Morgan Bit 1928,Morgan Bit 950,Bit 97,Morgan Bit 1683,Morgan Bit 1750,Bit 136,Morgan Bit 1952,Morgan Bit 419,Bit 31,Bit 125,Morgan Bit 926,Morgan Bit 473,Bit 91,Morgan Bit 67,Morgan Bit 1143,Morgan Bit 624,Morgan Bit 565,Bit 96,Bit 82,Morgan Bit 1357,Morgan Bit 500,Morgan Bit 1646,Morgan Bit 1838,Morgan Bit 656,Morgan Bit 1490,Morgan Bit 591,Morgan Bit 976,Morgan Bit 1741,Morgan Bit 1633,Bit 89,Morgan Bit 1723,Morgan Bit 1430,Bit 104,Bit 69,Morgan Bit 1226,Morgan Bit 439,Morgan Bit 1649,EQE (%)
Bit 74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.521414954951756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bit 156,0.0,0.0,0.0,0.0,0.0,0.0,0.48487851937741905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.26553044065953046,-0.08496844634646361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3306478051896356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.363578646527089,0.0,0.0,0.0,0.11311673771474613,0.0,0.0,0.0,0.0,0.0,-0.07429982647728889,0.0,0.0,0.0,0.0,-0.3826298489245731,0.0,0.0,0.07820747381988058,0.0,0.0,0.0,0.18620804342170447,0.0,0.0
Bit 90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07745899508892883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3599073269591852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5437197167349982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bit 65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3885711878206096,0.581004266778088,0.0,0.0,-0.7692716837558341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6668912469885727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8027210884353737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3444095317402734,-0.6416030649598831,0.0,0.0,0.0,0.0,0.0,0.244662094774541,-0.5515300788991989,0.4863850906696704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morgan Bit 780,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4307891660593504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morgan Bit 378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7069574325887161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7135645113979566,0.0,0.0,0.0,0.0,0.0,0.5021411222942048,0.0,0.7069574325887164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bit 98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7069574325887161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7135645113979566,0.0,0.0,0.0,0.0,0.0,0.5021411222942048,0.0,0.7069574325887164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bit 101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4870107670057069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3391995254882842,0.0,0.0,0.0,-0.5937710859953543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8121079065722827,0.477554247258023,0.0,0.0,0.0,0.0,0.0,0.3391995254882845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48701076700570695,0.0,0.0
Morgan Bit 645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7039429765866794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bit 163,0.0,0.0,0.0,0.0,0.0,0.0,0.24530509116461843,0.0,0.0,0.0,-0.06735053193621274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.040827504514915465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4693686021164372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
