cause,effect,weight,abs_weight,marginal_corr,abs_marginal_corr
Bit 141,EQE (%),-0.27868151837721145,0.27868151837721145,-0.22944625777028163,0.22944625777028163
Morgan Bit 378,EQE (%),0.24422402333314067,0.24422402333314067,0.26145630606025955,0.26145630606025955
Morgan Bit 997,EQE (%),-0.21542792642053715,0.21542792642053715,-0.2131911073968162,0.2131911073968162
Morgan Bit 222,EQE (%),-0.20543086172465214,0.20543086172465214,-0.23313388907557375,0.23313388907557375
Morgan Bit 1293,EQE (%),-0.19740036356023638,0.19740036356023638,-0.19677820969849563,0.19677820969849563
Morgan Bit 926,EQE (%),-0.14055008969232002,0.14055008969232002,-0.17571251823508835,0.17571251823508835
Morgan Bit 1380,EQE (%),0.09498922073258437,0.09498922073258437,0.21059907799499158,0.21059907799499158
Bit 121,EQE (%),0.08857237850360289,0.08857237850360289,0.22185437826729226,0.22185437826729226
Morgan Bit 45,EQE (%),0.0810346402181851,0.0810346402181851,0.19654801619327006,0.19654801619327006
Bit 101,EQE (%),0.07445027304752765,0.07445027304752765,0.24962490257718692,0.24962490257718692
Bit 74,EQE (%),0.0,0.0,-0.2893935605969475,0.2893935605969475
Bit 156,EQE (%),0.0,0.0,0.27662778848883585,0.27662778848883585
Bit 90,EQE (%),0.0,0.0,0.2759114349158468,0.2759114349158468
Bit 65,EQE (%),0.0,0.0,0.2724477966017979,0.2724477966017979
Morgan Bit 780,EQE (%),0.0,0.0,-0.2638173568945484,0.2638173568945484
Bit 98,EQE (%),0.0,0.0,0.25143604136133724,0.25143604136133724
Morgan Bit 645,EQE (%),0.0,0.0,0.23704879206180854,0.23704879206180854
Bit 163,EQE (%),0.0,0.0,0.23492036919320008,0.23492036919320008
Morgan Bit 632,EQE (%),0.0,0.0,-0.23282562220880318,0.23282562220880318
Morgan Bit 1797,EQE (%),0.0,0.0,-0.2259220283374197,0.2259220283374197
